Topic,Question,Answer
Тире,Суздальский музей деревянного зодчества (1) настоящий городок (2) построенный без единого гвоздя. Из дерева здесь всё (3) ложки и лавки в избе и даже крытая лемехом церковная маковка. Мельницы (4) церковь (5) домá (6) амбары и бани (7) всё привезено сюда из разных сёл Владимирской области и поставлено на территории не сохранившегося Дмитриевского монастыря. Автор проекта создания музея В.М. Анисимов писал (8) «Забыть свои корни можно и через три поколения. И потому ещё более дорогой нам становится историческая память».,"1,7"
Тире,Говорят (1) что архитектура (2) душа народа (3) воплощённая в камне (4) но к Руси это относится лишь с некоторой поправкой. Долгие годы Русь была страной деревянной (5) и её крепости (6) терема и избы строились из дерева (7) поскольку дерево для русского человека (8) возможность воплощения строительной красоты (9) чувства пропорций и слияния архитектурных сооружений с окружающей природой.,"2,8"
Двоеточие,"В 1767 году Екатерина II сообщала в письме к Н.И. Панину (1) «Мы вчера, ввечеру, сюда приехали и нашли город (2) который всячески может слыть столицею большого царства». Считается (3) что именно после визита государыни (4) Казань начала развиваться семимильными шагами (5) строили церкви (6) заводы (7) учебные заведения (8) общественные учреждения и дома.","1,5"
Двоеточие,"Горы Шиханы (1) уникальный и неповторимый природный памятник в Башкирии, беспристрастные свидетели процессов, которые происходили на этой территории миллионы лет назад. Шиханы состоят из четырёх гор-одиночек (2) Торатау (3) Шахтау (4) Юрактау и Куштау (5) образующих узкую цепочку (6) вытянутую вдоль реки Белой на 20 км. Несомненно одно (7) горы Шиханы представляют ценность и для градообразующего предприятия (8) и для истории (9) потому что подобные горы остались только в Австралии.","2,7"
Запятая,Лабиринты Заяцкого острова (1) настоящая загадка Соловецкого архипелага. Это невысокие сооружения (2) выложенные в виде спирали из мелких булыжников (3) и (4) имеющие один вход (5) и выход. Над загадкой острова учёные бьются с начала XX века (6) однако (7) единого мнения о происхождении этих лабиринтов до сих пор не существует. Тайна (8) завесу которой пока никто не может приподнять (9) манит к себе большое количество туристов.,"2,6,8,9"
Запятая,Красивая природа (1) обилие бурных рек (2) и живописных озёр (3) удивительные памятники истории (4) превращают Русский Север в райский уголок. Каким бы ни был круг ваших интересов (5) оказавшись в этих краях (6) Вы почувствуете себя как дома. Уставшему (7) горожанину (8) стоит поселиться в деревенском доме у озера (9) и насладиться мастерством древних зодчих.,"1,3,5,6"
Запятая,Ясная Поляна (1) чудесное место. Оказавшись в этом уютном уголке (2) расположенном всего лишь в 200 км от столицы (3) и в 10 минутах езды от Тулы (4) ощущаешь себя на краю земли. Природа поражает своей красотой (5) и время здесь словно останавливается. Берёзовая аллея (6) яблоневые сады (7) парки (8) и пруды настраивают на творческий лад. Неудивительно (9) что в этих местах творил гениальный писатель Л.Н. Толстой.,"2,4,5,6,7,9"
Кавычки,"Единственный музей в России, где по древним чертежам воссоздают копии старинных русских судов и совершают на них дальние морские путешествия, моделируя по примеру Тура Хейердала старинные маршруты, называется (1) Полярный Одиссей (2) и находится в (3) Петрозаводске (4). Об этом уникальном месте говорят: (5) Это музей без границ (6). Главные экспонаты музея – это действующие копии исторических деревянных парусных кораблей, которые представляют на различных морских фестивалях (7) Россию (8).","1,2,5,6"
Кавычки,"Болдинская усадьба, расположенная недалеко от (1) Нижнего Новгорода (2), привлекает к себе большое количество поклонников творчества А.С. Пушкина. Несмотря на то что поэт побывал в родовом поместье всего лишь три раза, село вдохновило его на написание более 50 произведений, среди которых (3) Медный всадник (4), главы (5) Евгения Онегина (6). Недаром исследователи творчества Александра Сергеевича говорили о днях, которые поэт провёл здесь осенью 1830 года: (7) Это чудо болдинской осени (8).","3,4,5,6,7,8"
Запятая,Когда всматриваешься в группу «праведных жен»(1) идущих в рай(2) нарисованную на южном столпе(3) то особенно глубоко ощущаешь(4) замысел художника(5) верившего в то(6) что зло исчезнет(7) уступив в мире (8)место добру.,"1,2,3,5,6,7  "
Тире,Башня Сююмбике (1) жемчужина казанского кремля и символ города. Кроме того (2) она также известна (3) как выдающееся архитектурное сооружение. Сююмбике (4) одна из так называемых падающих башен. Примечательно (5) что высота её (6) составляет 58 метров (7) при этом она имеет сильный вертикальный наклон. Известный учёный Нияз Халитов писал (8) «Башня Сююмбике закладывалась в большой спешке (9) что впоследствии и послужило причиной её наклона в северо-восточном направлении».,"1,4  "
Запятая,Останавливаясь на минуту(1) перед особняком(2) где жил некогда Пушкин(3) или идя мимо дома(4) в котором умер Гоголь(5) мы переносимся в эпоху(6) когда они писали(7) любили(8) шутили(9) путешествовали.,"2,3,4,5,6,7,8,9  "
Запятая,Уникальность Соловецкого архипелага (1) расположенного в Онежском заливе Белого моря (2) и состоящего из шести крупных островов (3) в том (4) что здесь удивительным образом слились воедино тысячелетия истории России. Это (5) стоянки древних людей (6) монастырские святыни (7) памятники советского прошлого в сочетании с потрясающим природным ландшафтом (8) древние святилища III—II тысячелетия до н. э. (9) включающие в себя знаменитые северные лабиринты.,"1,3,4,6,7,8,9  "
Тире,Расположенный в самом центре города Волгограда (1) Дом Павлова (2) это один из самых главных памятников (3) посвящённых нелёгкой победе в Сталинградской битве. Этот неприметный дом (4) символ стойкости (5) и воинского подвига. В сентябре 1942 года в нём расположилась разведгруппа под командованием сержанта Якова Павлова. Оборона жилого здания (6) вот какая важная задача стояла перед ней. Немецкие войска (7) на протяжении двух месяцев по нескольку раз за день атаковали дом (8) но каждый раз им приходилось отступать.,"2,4,6  "
Запятая,Рублевский ангел  — возвышенная мечта об идеальном человеке(1) позволяющая глубоко заглянуть в народную душу(2) понять мироощущение(3) духовное богатство(4) наших далеких соотечественников(5) ведь ненависти и отчаянию(6) Андрей Рублев противопоставлял любовь(7) добро(8) дружеское согласие.,"1,2,3,5,7,8  "
Запятая,Я поднял голову вверх (1) и увидел (2) освещающие горизонт (3) молнии (4) которые отпечатывались на небе (5) оставляя яркие следы (6) и рвали (7) затянувшие всё небо (8) тучи.,"4,5,6  "
Запятая,Знаменитая 60-метровая «падающая» колокольня в городе Соликамске Пермского края (1) не имеет архитектурных аналогов в России (2) так как состоит из двух чётко различимых частей (3) массивного кубического здания (4) и высокой восьмигранной башни. Кроме того (5) особенность её ещё и в том (6) что она отклоняется от оси почти на два метра. Во время строительства (7) под действием грунтовых вод колокольня накренилась (8) и затем достраивали её уже в таком положении.,"2,5,6,8  "
Тире,Кузнецкая крепость (1) это историко-архитектурный комплекс (2) являющийся одной из главных достопримечательностей города Новокузнецка (3) образец сибирского военно-инженерного искусства конца второй половины XVIII  — начала XIX столетия. Сама крепость (4) расположенные вокруг (5) свыше десятка архитектурных и военно-фортификационных сооружений (6) археологические памятники разных типов (7) водопад (8) всё рассказывает посетителям о военной истории региона (9) о быте и культуре местного населения.,"1,8  "
Запятая,"Невероятной кажется способность человека(1) который всю жизнь считал(2) что он aбсолютно неспособен к иностранным языкaм(3) но, попaв в чужую страну(4) в экстремальную ситуaцию(5) он быстро и легко выучивaет чужой язык(6) представлявшийся до этого(7) совершенно невозможным для запоминания.","1,2,3,4,5,6  "
Запятая,И если тебе(1) мой читатель(2) посчастливится побывать когда-нибудь в Кавказском заповеднике(3) и пройти по тропе(4) у которой(5) стоит такой обелиск(6) низко поклонись памяти защитников нашей Родины (7) отдавших свои жизни за то (8) чтобы сегодня мы жили в мире.,"1,2,4,6,7,8  "
